Date : 2022-11-17 18:39:17
Directory : /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps
Total : 100 files,  6381 codes, 293 comments, 495 blanks, all 7169 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Components/Nav.tsx               | TypeScript React   |        250 |         11 |         11 |        272 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Components/ProjectCard.tsx       | TypeScript React   |         89 |          0 |          5 |         94 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Components/Stat.tsx              | TypeScript React   |         17 |          0 |          4 |         21 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/App.tsx                    | TypeScript React   |         30 |          0 |          9 |         39 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Home.tsx                   | TypeScript React   |         15 |          0 |          3 |         18 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Login.tsx                  | TypeScript React   |        138 |          0 |          5 |        143 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Profile.tsx                | TypeScript React   |        219 |          0 |          3 |        222 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Project.tsx                | TypeScript React   |        315 |          0 |         18 |        333 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Projects.tsx               | TypeScript React   |        221 |          3 |         11 |        235 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Settings.tsx               | TypeScript React   |        192 |         12 |         14 |        218 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/Pages/Signup.tsx                 | TypeScript React   |        316 |          0 |          7 |        323 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/api/constants.ts                 | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/api/index.ts                     | TypeScript         |         55 |          0 |         11 |         66 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/index.css                        | CSS                |         15 |          0 |          4 |         19 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/index.tsx                        | TypeScript React   |         42 |          6 |          3 |         51 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/react-app-env.d.ts               | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/reportWebVitals.ts               | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/serviceWorker.ts                 | TypeScript         |        102 |         31 |         14 |        147 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/setupTests.ts                    | TypeScript         |          1 |          4 |          1 |          6 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/test-utils.tsx                   | TypeScript React   |          9 |          0 |          4 |         13 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/utils/history.ts                 | TypeScript         |          2 |          0 |          0 |          2 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/utils/theme.ts                   | TypeScript         |          7 |          2 |          4 |         13 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/src/utils/types.d.ts                 | TypeScript         |         17 |          0 |          2 |         19 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/desktop/tsconfig.json                        | JSON with Comments |          5 |          0 |          0 |          5 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/package.json                         | JSON               |         29 |          0 |          1 |         30 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/src/env.d.ts                         | TypeScript         |          5 |          0 |          0 |          5 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/src/index.ts                         | TypeScript         |         85 |          2 |          6 |         93 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/src/routes/status.ts                 | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/src/utils/url.ts                     | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/monitor/tsconfig.json                        | JSON with Comments |          8 |          0 |          1 |          9 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/package.json                     | JSON               |         45 |          0 |          1 |         46 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/custom_typings.ts            | TypeScript         |         10 |          0 |          0 |         10 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/env.d.ts                     | TypeScript         |          7 |          0 |          0 |          7 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/index.ts                     | TypeScript         |         74 |          7 |         15 |         96 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/routes/api/auth.ts           | TypeScript         |         83 |          5 |         10 |         98 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/routes/api/noauth.ts         | TypeScript         |         75 |          0 |          5 |         80 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/routes/auth/index.ts         | TypeScript         |        168 |         14 |          9 |        191 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/routes/monitor/index.ts      | TypeScript         |         30 |          0 |          6 |         36 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/src/routes/project/index.ts      | TypeScript         |        142 |          5 |          8 |        155 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website-api/tsconfig.json                    | JSON with Comments |          8 |          0 |          0 |          8 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/README.md                            | Markdown           |         40 |          0 |         20 |         60 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/package.json                         | JSON               |         55 |          0 |          1 |         56 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/public/index.html                    | HTML               |         18 |         25 |          1 |         44 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/public/manifest.json                 | JSON               |         25 |          0 |          1 |         26 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Components/ColorModeSwitcher.tsx | TypeScript React   |         27 |          0 |          4 |         31 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Components/Loading.tsx           | TypeScript React   |         23 |          0 |          3 |         26 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Components/ModalComp.tsx         | TypeScript React   |         42 |          0 |          4 |         46 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Components/Nav.tsx               | TypeScript React   |        251 |         12 |         12 |        275 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Components/ProjectCard.tsx       | TypeScript React   |         93 |          0 |          5 |         98 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Components/Stat.tsx              | TypeScript React   |         17 |          0 |          4 |         21 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Pages/App.tsx                    | TypeScript React   |         36 |          0 |          9 |         45 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Pages/Home.tsx                   | TypeScript React   |         15 |          0 |          3 |         18 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Pages/Login.tsx                  | TypeScript React   |        140 |          0 |          6 |        146 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Pages/Monitor.tsx                | TypeScript React   |         92 |          0 |          8 |        100 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Pages/Profile.tsx                | TypeScript React   |        219 |          0 |          3 |        222 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Pages/Project.tsx                | TypeScript React   |        292 |          0 |         14 |        306 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Pages/Projects.tsx               | TypeScript React   |        231 |          6 |         11 |        248 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Pages/Settings.tsx               | TypeScript React   |        202 |          0 |         12 |        214 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/Pages/Signup.tsx                 | TypeScript React   |        312 |          0 |          7 |        319 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/api/constants.ts                 | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/api/index.ts                     | TypeScript         |         59 |          0 |         12 |         71 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/index.tsx                        | TypeScript React   |         50 |          9 |          6 |         65 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/react-app-env.d.ts               | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/reportWebVitals.ts               | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/serviceWorker.ts                 | TypeScript         |        102 |         31 |         14 |        147 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/setupTests.ts                    | TypeScript         |          1 |          4 |          1 |          6 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/test-utils.tsx                   | TypeScript React   |          9 |          0 |          4 |         13 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/utils/theme.ts                   | TypeScript         |          7 |          2 |          4 |         13 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/src/utils/types.d.ts                 | TypeScript         |         18 |          0 |          2 |         20 |
| /Users/eliaswambugu/Documents/projects/dashboard/bettrdash-test/apps/website/tsconfig.json                        | JSON with Comments |          5 |          0 |          0 |          5 |
| Total                                                                                                             |                    |      6,381 |        293 |        495 |      7,169 |
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
